"","DAY","MONTH","YEAR","HOUR","MINUTE","Date","Time","LATITUDE.x","LONGITUDE.x","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE.y","LONGITUDE.y","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","diffLat","diffLong"
"21","1","2","1974","3","12","2/1/1974","3:12:33",-7.383,155.575,"Earthquake",40,NA,NA,7.1,"MS",NA,NA,NA,NA,NA,NA,"USP000053R","US","US","US","Reviewed",6598,"Tsu",33.1,40,7.1,NA,7.1,6.2,NA,NA,NA,6,"SOLOMON ISLANDS","","SOLOMON ISLANDS",-7.4,155.6,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0.0170000000000003,-0.0250000000000057
"22","1","2","1984","14","22","2/1/1984","14:22:08",34.616,70.484,"Earthquake",33,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,1.2,"USP00021QK","US","US","HRV","Reviewed",5022,"",7.9,33,5.8,NA,5.8,5.9,NA,NA,NA,4,"AFGHANISTAN","","AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",34.616,70.484,40,1,1,NA,NA,35,1,5,2,NA,NA,NA,NA,1,1,NA,NA,35,1,5,2,NA,NA,NA,NA,0,0
"23","1","2","1992","19","4","2/1/1992","19:04:05",35.106,139.644,"Earthquake",100,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,0.9,"USP00052GF","US","US","HRV","Reviewed",8252,"",4.5,100,5.6,NA,NA,5.6,NA,NA,NA,NA,"JAPAN","","JAPAN:  HONSHU:  TOKYO",35.106,139.644,30,NA,NA,NA,NA,37,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,37,1,NA,1,NA,NA,NA,NA,0,0
"24","1","3","1994","3","49","3/1/1994","3:49:01",29.096,52.617,"Earthquake",12.9,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,1.1,"USP000693T","US","US","HRV","Reviewed",5381,"",0.8,13,6.1,6.1,6,5.8,NA,NA,NA,NA,"IRAN","","IRAN:  SOUTHERN:  FIRUZABAD",29.096,52.617,140,2,1,NA,NA,50,1,NA,1,NA,NA,NA,1,2,1,NA,NA,50,1,NA,1,NA,NA,NA,1,0,0
"25","1","3","1997","6","4","3/1/1997","6:04:14",39.422,76.839,"Earthquake",22.4,NA,NA,5.6,"MWC",NA,NA,NA,NA,NA,1.08,"USP0007Y20","US","US","HRV","Reviewed",5452,"",14.1,22,5.6,5.6,5.5,5.2,NA,NA,NA,NA,"CHINA","","CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,40,2,1,NA,NA,6,1,NA,3,4000,3,NA,NA,2,1,NA,NA,6,1,NA,3,4000,4,NA,NA,0,0
"26","1","3","2004","0","35","3/1/2004","0:35:58",37.136,22.116,"Earthquake",9.4,3.7,522,5.6,"MWB",NA,NA,40.1,NA,NA,1.22,"USP000CNSJ","US","US","US","Reviewed",5766,"",58,9,5.2,5.2,4.8,5.4,5.1,NA,NA,NA,"GREECE","","GREECE:  SOUTHERN:  KALAMATA",37.136,22.116,130,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0
"27","1","4","1968","0","42","4/1/1968","0:42:07",32.449,132.269,"Earthquake",34.2,NA,NA,7.5,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM823387","ISCGEM","ISCGEM","ISCGEM","Automatic",4432,"Tsu",4.2,30,7.5,NA,7.5,NA,NA,NA,NA,7,"JAPAN","","JAPAN:  KYUSHU, SHIKOKU",32.3,132.5,30,1,1,NA,NA,22,1,NA,2,NA,2,NA,NA,1,1,NA,NA,22,1,NA,2,NA,2,NA,NA,0.149000000000001,-0.230999999999995
"28","1","4","1973","7","12","4/1/1973","7:12:37",11.663,43.035,"Earthquake",31,NA,NA,5.9,"MS",NA,NA,NA,NA,NA,NA,"USP0000168","US","US","US","Reviewed",4633,"",37,31,5.9,NA,5.9,NA,NA,NA,6,NA,"ETHIOPIA","","ETHIOPIA:  DJIBOUTI",11.66,43.03,10,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00300000000000011,0.00499999999999545
"29","1","4","2002","19","59","4/1/2002","19:59:32",-29.67,-71.384,"Earthquake",71,NA,434,6.4,"MWC",NA,NA,NA,NA,NA,0.87,"USP000B1HZ","US","US","HRV","Reviewed",5628,"",32.4,71,6.4,6.4,NA,6.1,NA,NA,NA,NA,"CHILE","","CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,160,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0
"30","1","4","2006","10","2","4/1/2006","10:02:20",22.868,121.278,"Earthquake",9,NA,429,6.1,"MWB",NA,NA,17.9,NA,NA,1.02,"USP000EDE6","US","US","US","Reviewed",7236,"",19.5,9,6.2,6.2,6.1,6,NA,NA,NA,NA,"TAIWAN","","TAIWAN:  T'AIT-TUNG",22.868,121.278,30,NA,NA,NA,NA,42,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,42,1,NA,1,NA,2,NA,NA,0,0
"31","1","4","2007","20","39","4/1/2007","20:39:59",-8.466,157.043,"Earthquake",24,NA,439,8.1,"MWC",NA,NA,14.7,NA,NA,1.32,"USP000F83M","US","US","GCMT","Reviewed",7457,"Tsu",56.3,24,8.1,8.1,7.9,6.8,NA,NA,NA,NA,"SOLOMON ISLANDS","","SOLOMON ISLANDS",-8.466,157.043,170,54,2,NA,NA,NA,NA,NA,3,300,3,500,3,54,2,NA,NA,NA,NA,NA,3,2500,4,500,3,0,0
"32","1","4","2014","23","46","4/1/2014","23:46:47",-19.6097,-70.7691,"Earthquake",25,1.8,NA,8.2,"MWW",NA,NA,23,0.609,NA,0.66,"USC000NZVD","US","US","US","Reviewed",10079,"Tsu",46,20,8.2,8.2,NA,NA,NA,NA,NA,NA,"CHILE","","CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.642,-70.817,160,7,1,NA,NA,NA,NA,NA,3,NA,NA,2500,4,7,1,NA,NA,NA,NA,NA,3,NA,NA,2500,4,0.0322999999999993,0.0478999999999985
